Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
IVZ,32.54999923706055,N/A,0.5901696993641399,0.8948545861297539,0.24523949969689124,0.767337807606264,0.2082487800035995,0.7583892617449663,0.10589633204053983,0.756152125279642,0.7941834451901566
J,144.66000366210938,N/A,0.012078965006702547,0.03131991051454139,0.09567062519105451,0.4093959731543624,0.313167175495438,0.8993288590604027,0.0979886425966556,0.7293064876957495,0.517337807606264
JBHT,279.7099914550781,N/A,0.965836977639995,0.9597315436241611,0.26579791384143153,0.8031319910514542,0.06853968619999769,0.3378076062639821,0.038530684022522556,0.37583892617449666,0.6191275167785235
JCI,153.63999938964844,N/A,0.49285213315878834,0.8411633109619686,0.1098825441158137,0.4519015659955257,0.07677614924410353,0.3803131991051454,0.0938344870125941,0.7024608501118569,0.5939597315436241
JKHY,153.30999755859375,N/A,0.029659851068648362,0.10514541387024608,0.01360091208784412,0.0447427293064877,0.1251487439659727,0.5413870246085011,0.010812945272285433,0.087248322147651,0.19463087248322147
JNJ,260.3500061035156,N/A,0.510728802796225,0.8478747203579418,0.08128693331734647,0.3534675615212528,0.15498783296874208,0.6286353467561522,0.028888764667001826,0.2975391498881432,0.5318791946308725
JPM,362.8399963378906,N/A,0.27295731713192606,0.6017897091722595,0.21084077348520924,0.7248322147651006,0.2238493493430125,0.7941834451901566,0.06373494531037163,0.5592841163310962,0.6700223713646533
KEY,23.309999465942383,N/A,0.34677954450306264,0.6912751677852349,0.0955751634848231,0.407158836689038,0.11886416521885693,0.523489932885906,0.010191073413729768,0.08053691275167785,0.4256152125279642
KEYS,357.82000732421875,N/A,1.189841007894416,0.9686800894854586,0.5323541421853087,0.9552572706935123,0.025242822016795553,0.12751677852348992,0.1327002666592989,0.8277404921700223,0.7197986577181208
KHC,25.510000228881836,N/A,0.016211423907102188,0.05145413870246084,0.06485115946564875,0.2751677852348993,0.1331739526141584,0.5659955257270693,0.014296713442157846,0.116331096196868,0.25223713646532436
KIM,24.40999984741211,N/A,0.20491786223670164,0.49664429530201337,0.09877521121459251,0.4161073825503355,0.07292276923190424,0.3579418344519016,0.06546711090655065,0.5727069351230425,0.46085011185682323
KLAC,203.72000122070312,N/A,1.3433948172704993,0.9753914988814317,0.39499271470970376,0.9082774049217002,0.1305090324333712,0.5548098434004474,0.042444177576013514,0.407158836689038,0.7114093959731543
KMB,110.38999938964844,N/A,0.12896959221508308,0.3378076062639821,0.03544898858103643,0.15883668903803133,0.1667838500895145,0.6532438478747202,0.018827881349851507,0.15883668903803133,0.3271812080536912
KMI,32.81999969482422,N/A,0.28006645254774193,0.6152125279642058,0.03443810218645485,0.15212527964205816,0.01496382522900613,0.07829977628635347,0.02559650373633259,0.24832214765100669,0.273489932885906
